County,FIPS,Population
Stevens County KS,20189,5485
Sumner County KS,20191,22836
Thomas County KS,20193,7777
Trego County KS,20195,2803
Wabaunsee County KS,20197,6931
Wallace County KS,20199,1518
Washington County KS,20201,5406
Wichita County KS,20203,2119
Wilson County KS,20205,8525
Woodson County KS,20207,3138
Wyandotte County KS,20209,165429
Adair County KY,21001,19202
Allen County KY,21003,21315
Anderson County KY,21005,22747
Ballard County KY,21007,7888
Barren County KY,21009,44249
Bath County KY,21011,12500
Bell County KY,21013,26032
Boone County KY,21015,133581
Bourbon County KY,21017,19788
Boyd County KY,21019,46718
Boyle County KY,21021,30060
Bracken County KY,21023,8303
Breathitt County KY,21025,12630
Breckinridge County KY,21027,20477
Bullitt County KY,21029,81676
Butler County KY,21031,12879
Caldwell County KY,21033,12747
Calloway County KY,21035,39001
Campbell County KY,21037,93584
Carlisle County KY,21039,4760
Carroll County KY,21041,10631
Carter County KY,21043,26797
Casey County KY,21045,16159
Christian County KY,21047,70461
Clark County KY,21049,36263
Clay County KY,21051,19901
Clinton County KY,21053,10218
Crittenden County KY,21055,8806
Cumberland County KY,21057,6614
Daviess County KY,21059,101511
Edmonson County KY,21061,12150
Elliott County KY,21063,7517
Estill County KY,21065,14106
Fayette County KY,21067,323152
Fleming County KY,21069,14581
Floyd County KY,21071,35589
Franklin County KY,21073,50991
Fulton County KY,21075,5969
Gallatin County KY,21077,8869
Garrard County KY,21079,17666
Grant County KY,21081,25069
Graves County KY,21083,37266
Grayson County KY,21085,26427
Green County KY,21087,10941
Greenup County KY,21089,35098
Hancock County KY,21091,8722
Hardin County KY,21093,110958
Harlan County KY,21095,26010
Harrison County KY,21097,18886
Hart County KY,21099,19035
Henderson County KY,21101,45210
Henry County KY,21103,16126
Hickman County KY,21105,4380
Hopkins County KY,21107,44686
Jackson County KY,21109,13329
Jefferson County KY,21111,766757
Jessamine County KY,21113,54115
Johnson County KY,21115,22188
Kenton County KY,21117,166998
Knott County KY,21119,14806
Knox County KY,21121,31145
Larue County KY,21123,14398
Laurel County KY,21125,60813
Lawrence County KY,21127,15317
Lee County KY,21129,7403
Leslie County KY,21131,9877
Letcher County KY,21133,21553
Lewis County KY,21135,13275
Lincoln County KY,21137,24549
Livingston County KY,21139,9194
Logan County KY,21141,27102
Lyon County KY,21143,8210
McCracken County KY,21145,65418
McCreary County KY,21147,17231
McLean County KY,21149,9207
Madison County KY,21151,92987
Magoffin County KY,21153,12161
Marion County KY,21155,19273
Marshall County KY,21157,31100
Martin County KY,21159,11195
Mason County KY,21161,17070
Meade County KY,21163,28572
Menifee County KY,21165,6489
Mercer County KY,21167,21933
Metcalfe County KY,21169,10071
Monroe County KY,21171,10650
Montgomery County KY,21173,28157
Morgan County KY,21175,13309
Muhlenberg County KY,21177,30622
Nelson County KY,21179,46233
Nicholas County KY,21181,7269
Ohio County KY,21183,23994
Oldham County KY,21185,66799
Owen County KY,21187,10901
Owsley County KY,21189,4415
Pendleton County KY,21191,14590
Perry County KY,21193,25758
Pike County KY,21195,57876
Powell County KY,21197,12359
Pulaski County KY,21199,64979
Robertson County KY,21201,2108
Rockcastle County KY,21203,16695
Rowan County KY,21205,24460
Russell County KY,21207,17923
Scott County KY,21209,57004
Shelby County KY,21211,49024
Simpson County KY,21213,18572
Spencer County KY,21215,19351
Taylor County KY,21217,25769
Todd County KY,21219,12294
Trigg County KY,21221,14651
Trimble County KY,21223,8471
Union County KY,21225,14381
Warren County KY,21227,132896
Washington County KY,21229,12095
Wayne County KY,21231,20333
Webster County KY,21233,12942
Whitley County KY,21235,36264
Wolfe County KY,21237,7157
Woodford County KY,21239,26734
Acadia Parish LA,22001,62045
Allen Parish LA,22003,25627
Ascension Parish LA,22005,126604
Assumption Parish LA,22007,21891
Avoyelles Parish LA,22009,40144
Beauregard Parish LA,22011,37497
Bienville Parish LA,22013,13241
Bossier Parish LA,22015,127039
Caddo Parish LA,22017,240204
Calcasieu Parish LA,22019,203436
Caldwell Parish LA,22021,9918
Cameron Parish LA,22023,6973
Catahoula Parish LA,22025,9494
Claiborne Parish LA,22027,15670
Concordia Parish LA,22029,19259
De Soto Parish LA,22031,27463
East Baton Rouge Parish LA,22033,440059
East Carroll Parish LA,22035,6861
East Feliciana Parish LA,22037,19135
Evangeline Parish LA,22039,33395
Franklin Parish LA,22041,20015
Grant Parish LA,22043,22389
Iberia Parish LA,22045,69830
Iberville Parish LA,22047,32511
Jackson Parish LA,22049,15744
Jefferson Parish LA,22051,432493
Jefferson Davis Parish LA,22053,31368
Lafayette Parish LA,22055,244390
Lafourche Parish LA,22057,97614
LaSalle Parish LA,22059,14892
Lincoln Parish LA,22061,46742
Livingston Parish LA,22063,140789
Madison Parish LA,22065,10951
Morehouse Parish LA,22067,24874
Natchitoches Parish LA,22069,38158
Orleans Parish LA,22071,390144
Ouachita Parish LA,22073,153279
Plaquemines Parish LA,22075,23197
Pointe Coupee Parish LA,22077,21730
Rapides Parish LA,22079,129648
Red River Parish LA,22081,8442
Richland Parish LA,22083,20122
Sabine Parish LA,22085,23884
St. Bernard Parish LA,22087,47244
St. Charles Parish LA,22089,53100
St. Helena Parish LA,22091,10132
St. James Parish LA,22093,21096
St. John the Baptist Parish LA,22095,42837
St. Landry Parish LA,22097,82124
St. Martin Parish LA,22099,53431
St. Mary Parish LA,22101,49348
St. Tammany Parish LA,22103,260419
Tangipahoa Parish LA,22105,134758
Tensas Parish LA,22107,4334
Terrebonne Parish LA,22109,110461
Union Parish LA,22111,22108
Vermilion Parish LA,22113,59511
Vernon Parish LA,22115,47429
Washington Parish LA,22117,46194
Webster Parish LA,22119,38340
West Baton Rouge Parish LA,22121,26465
West Carroll Parish LA,22123,10830
West Feliciana Parish LA,22125,15568
Winn Parish LA,22127,13904
Androscoggin County ME,23001,108277
Aroostook County ME,23003,67055
Cumberland County ME,23005,295003
Franklin County ME,23007,30199
Hancock County ME,23009,54987
Kennebec County ME,23011,122302
Knox County ME,23013,39772
Lincoln County ME,23015,34634
Oxford County ME,23017,57975
Penobscot County ME,23019,152148
Piscataquis County ME,23021,16785
Sagadahoc County ME,23023,35856
Somerset County ME,23025,50484
Waldo County ME,23027,39715
Washington County ME,23029,31379
York County ME,23031,207641
Allegany County MD,24001,70416
Anne Arundel County MD,24003,579234
Baltimore County MD,24005,827370
Calvert County MD,24009,92525
Caroline County MD,24011,33406
Carroll County MD,24013,168447
Cecil County MD,24015,102855
Charles County MD,24017,163257
Dorchester County MD,24019,31929
Frederick County MD,24021,259547
Garrett County MD,24023,29014
Harford County MD,24025,255441
Howard County MD,24027,325690
Kent County MD,24029,19422
Montgomery County MD,24031,1050688
Prince George's County MD,24033,909327
Queen Anne's County MD,24035,50381
St. Mary's County MD,24037,113510
Somerset County MD,24039,25616
Talbot County MD,24041,37181
Washington County MD,24043,151049
Wicomico County MD,24045,103609
Worcester County MD,24047,52276
Baltimore city MD,24510,593490
Barnstable County MA,25001,212990
Berkshire County MA,25003,124944
Bristol County MA,25005,565217
Dukes County MA,25007,17332
Essex County MA,25009,789034
Franklin County MA,25011,70180
Hampden County MA,25013,466372
Hampshire County MA,25015,160830
Middlesex County MA,25017,1611699
Nantucket County MA,25019,11399
Norfolk County MA,25021,706775
Plymouth County MA,25023,521202
Suffolk County MA,25025,803907
Worcester County MA,25027,830622
Alcona County MI,26001,10405
Alger County MI,26003,9108
Allegan County MI,26005,118081
Alpena County MI,26007,28405
Antrim County MI,26009,23324
Arenac County MI,26011,14883
Baraga County MI,26013,8209
Barry County MI,26015,61550
Bay County MI,26017,103126
Benzie County MI,26019,17766
Berrien County MI,26021,153401
Branch County MI,26023,43517
Calhoun County MI,26025,134159
Cass County MI,26027,51787
Charlevoix County MI,26029,26143
Cheboygan County MI,26031,25276
Chippewa County MI,26033,37349
Clare County MI,26035,30950
Clinton County MI,26037,79595
Crawford County MI,26039,14029
Delta County MI,26041,35784
Dickinson County MI,26043,25239
Eaton County MI,26045,110268
Emmet County MI,26047,33415
Genesee County MI,26049,405813
Gladwin County MI,26051,25449
Gogebic County MI,26053,13975
Grand Traverse County MI,26055,93088
Gratiot County MI,26057,40711
Hillsdale County MI,26059,45605
Houghton County MI,26061,35684
Huron County MI,26063,30981
Ingham County MI,26065,292406
Ionia County MI,26067,64697
Iosco County MI,26069,25127
Iron County MI,26071,11066
Isabella County MI,26073,69872
Jackson County MI,26075,158510
Kalamazoo County MI,26077,265066
Kalkaska County MI,26079,18038
Kent County MI,26081,656955
Keweenaw County MI,26083,2116
Lake County MI,26085,11853
Lapeer County MI,26087,87607
Leelanau County MI,26089,21761
Lenawee County MI,26091,98451
Livingston County MI,26093,191995
Luce County MI,26095,6229
Mackinac County MI,26097,10799
Macomb County MI,26099,873972
Manistee County MI,26101,24558
Marquette County MI,26103,66699
Mason County MI,26105,29144
Mecosta County MI,26107,43453
Menominee County MI,26109,22780
Midland County MI,26111,83156
Missaukee County MI,26113,15118
Monroe County MI,26115,150500
Montcalm County MI,26117,63888
Montmorency County MI,26119,9328
Muskegon County MI,26121,173566
Newaygo County MI,26123,48980
Oakland County MI,26125,1257584
Oceana County MI,26127,26467
Ogemaw County MI,26129,20997
Ontonagon County MI,26131,5720
Osceola County MI,26133,23460
Oscoda County MI,26135,8241
Otsego County MI,26137,24668
Ottawa County MI,26139,291830
Presque Isle County MI,26141,12592
Roscommon County MI,26143,24019
Saginaw County MI,26145,190539
St. Clair County MI,26147,159128
St. Joseph County MI,26149,60964
Sanilac County MI,26151,41170
Schoolcraft County MI,26153,8094
Shiawassee County MI,26155,68122
Tuscola County MI,26157,52245
Van Buren County MI,26159,75677
Washtenaw County MI,26161,367601
Wayne County MI,26163,1749343
Wexford County MI,26165,33631
Aitkin County MN,27001,15886
Anoka County MN,27003,356921
Becker County MN,27005,34423
Beltrami County MN,27007,47188
Benton County MN,27009,40889
Big Stone County MN,27011,4991
Blue Earth County MN,27013,67653
Brown County MN,27015,25008
Carlton County MN,27017,35871
Carver County MN,27019,105089
Cass County MN,27021,29779
Chippewa County MN,27023,11800
Chisago County MN,27025,56579
Clay County MN,27027,64222
Clearwater County MN,27029,8818
Cook County MN,27031,5463
Cottonwood County MN,27033,11196
Crow Wing County MN,27035,65055
Dakota County MN,27037,429021
Dodge County MN,27039,20934
Douglas County MN,27041,38141
Faribault County MN,27043,13653
Fillmore County MN,27045,21067
Freeborn County MN,27047,30281
Goodhue County MN,27049,46340
Grant County MN,27051,5972
Hennepin County MN,27053,1265843
Houston County MN,27055,18600
Hubbard County MN,27057,21491
Isanti County MN,27059,40596
Itasca County MN,27061,45130
Jackson County MN,27063,9846
Kanabec County MN,27065,16337
Kandiyohi County MN,27067,43199
Kittson County MN,27069,4298
Koochiching County MN,27071,12229
Lac qui Parle County MN,27073,6623
Lake County MN,27075,10641
Lake of the Woods County MN,27077,3740
Le Sueur County MN,27079,28887
Lincoln County MN,27081,5639
Lyon County MN,27083,25474
McLeod County MN,27085,35893
Mahnomen County MN,27087,5527
Marshall County MN,27089,9336
Martin County MN,27091,19683
Meeker County MN,27093,23222
Mille Lacs County MN,27095,26277
Morrison County MN,27097,33386
Mower County MN,27099,40062
Murray County MN,27101,8194
Nicollet County MN,27103,34274
Nobles County MN,27105,21629
Norman County MN,27107,6375
Olmsted County MN,27109,158293
Otter Tail County MN,27111,58746
Pennington County MN,27113,14119
Pine County MN,27115,29579
Pipestone County MN,27117,9126
Polk County MN,27119,31364
Pope County MN,27121,11249
Ramsey County MN,27123,550321
Red Lake County MN,27125,4055
Redwood County MN,27127,15170
Renville County MN,27129,14548
Rice County MN,27131,66972
Rock County MN,27133,9315
Roseau County MN,27135,15165
St. Louis County MN,27137,199070
Scott County MN,27139,149013
Sherburne County MN,27141,97238
Sibley County MN,27143,14865
Stearns County MN,27145,161075
Steele County MN,27147,36649
Stevens County MN,27149,9805
Swift County MN,27151,9266
Todd County MN,27153,24664
Traverse County MN,27155,3259
Wabasha County MN,27157,21627
Wadena County MN,27159,13682
Waseca County MN,27161,18612
Washington County MN,27163,262440
Watonwan County MN,27165,10897
Wilkin County MN,27167,6207
Winona County MN,27169,50484
Wright County MN,27171,138377
Yellow Medicine County MN,27173,9709
Adams County MS,28001,30693
Alcorn County MS,28003,36953
Amite County MS,28005,12297
Attala County MS,28007,18174
Benton County MS,28009,8259
Bolivar County MS,28011,30628
Calhoun County MS,28013,14361
Carroll County MS,28015,9947
Chickasaw County MS,28017,17103
Choctaw County MS,28019,8210
Claiborne County MS,28021,8988
Clarke County MS,28023,15541
Clay County MS,28025,19316
Coahoma County MS,28027,22124
Copiah County MS,28029,28065
Covington County MS,28031,18636
DeSoto County MS,28033,184945
Forrest County MS,28035,74897
Franklin County MS,28037,7713
George County MS,28039,24500
Greene County MS,28041,13586
Grenada County MS,28043,20758
Hancock County MS,28045,47632
Harrison County MS,28047,208080
Hinds County MS,28049,231840
Holmes County MS,28051,17010
Humphreys County MS,28053,8064
Issaquena County MS,28055,1327
Itawamba County MS,28057,23390
Jackson County MS,28059,143617
Jasper County MS,28061,16383
Jefferson County MS,28063,6990
Jefferson Davis County MS,28065,11128
Jones County MS,28067,68098
Kemper County MS,28069,9742
Lafayette County MS,28071,54019
Lamar County MS,28073,63343
Lauderdale County MS,28075,74125
Lawrence County MS,28077,12586
Leake County MS,28079,22786
Lee County MS,28081,85436
Leflore County MS,28083,28183
Lincoln County MS,28085,34153
Lowndes County MS,28087,58595
Madison County MS,28089,106272
Marion County MS,28091,24573
Marshall County MS,28093,35294
Monroe County MS,28095,35252
Montgomery County MS,28097,9775
Neshoba County MS,28099,29118
Newton County MS,28101,21018
Noxubee County MS,28103,10417
Oktibbeha County MS,28105,49587
Panola County MS,28107,34192
Pearl River County MS,28109,55535
Perry County MS,28111,11973
Pike County MS,28113,39288
Pontotoc County MS,28115,32174
Prentiss County MS,28117,25126
Quitman County MS,28119,6792
Rankin County MS,28121,155271
Scott County MS,28123,28124
Sharkey County MS,28125,4321
Simpson County MS,28127,26658
Smith County MS,28129,15916
Stone County MS,28131,18336
Sunflower County MS,28133,25110
Tallahatchie County MS,28135,13809
Tate County MS,28137,28321
Tippah County MS,28139,22015
Tishomingo County MS,28141,19383
Tunica County MS,28143,9632
Union County MS,28145,28815
Walthall County MS,28147,14286
Warren County MS,28149,45381
Washington County MS,28151,43909
Wayne County MS,28153,20183
Webster County MS,28155,9689
Wilkinson County MS,28157,8630
Winston County MS,28159,17955
Yalobusha County MS,28161,12108
Yazoo County MS,28163,29690
Adair County MO,29001,25343
Andrew County MO,29003,17712
Atchison County MO,29005,5143
Audrain County MO,29007,25388
Barry County MO,29009,35789
Barton County MO,29011,11754
Bates County MO,29013,16172
Benton County MO,29015,19443
Bollinger County MO,29017,12133
Boone County MO,29019,180463
Buchanan County MO,29021,87364
Butler County MO,29023,42478
Caldwell County MO,29025,9020
Callaway County MO,29027,44743
Camden County MO,29029,46305
Cape Girardeau County MO,29031,78871
Carroll County MO,29033,8679
Carter County MO,29035,5982
Cass County MO,29037,105780
Cedar County MO,29039,14349
Chariton County MO,29041,7426
Christian County MO,29043,88595
Clark County MO,29045,6797
Clay County MO,29047,249948
Clinton County MO,29049,20387
Cole County MO,29051,76745
Cooper County MO,29053,17709
Crawford County MO,29055,23920
Dade County MO,29057,7561
Dallas County MO,29059,16878
Daviess County MO,29061,8278
DeKalb County MO,29063,12547
Dent County MO,29065,15573
Douglas County MO,29067,13185
Dunklin County MO,29069,29131
Franklin County MO,29071,103967
Gasconade County MO,29073,14706
Gentry County MO,29075,6571
Greene County MO,29077,293086
Grundy County MO,29079,9850
Harrison County MO,29081,8352
Henry County MO,29083,21824
Hickory County MO,29085,9544
Holt County MO,29087,4403
Howard County MO,29089,10001
Howell County MO,29091,40117
Iron County MO,29093,10125
Jackson County MO,29095,703011
Jasper County MO,29097,121328
Jefferson County MO,29099,225081
Johnson County MO,29101,54062
Knox County MO,29103,3959
Laclede County MO,29105,35723
Lafayette County MO,29107,32708
Lawrence County MO,29109,38355
Lewis County MO,29111,9776
Lincoln County MO,29113,59013
Linn County MO,29115,11920
Livingston County MO,29117,15227
McDonald County MO,29119,22837
Macon County MO,29121,15117
Madison County MO,29123,12088
Maries County MO,29125,8697
Marion County MO,29127,28530
Mercer County MO,29129,3617
Miller County MO,29131,25619
Mississippi County MO,29133,13180
Moniteau County MO,29135,16132
Monroe County MO,29137,8644
Montgomery County MO,29139,11551
Morgan County MO,29141,20627
New Madrid County MO,29143,17076
Newton County MO,29145,58236
Nodaway County MO,29147,22092
Oregon County MO,29149,10529
Osage County MO,29151,13615
Ozark County MO,29153,9174
Pemiscot County MO,29155,15805
Perry County MO,29157,19136
Pettis County MO,29159,42339
Phelps County MO,29161,44573
Pike County MO,29163,18302
Platte County MO,29165,104418
Polk County MO,29167,32149
Pulaski County MO,29169,52607
Putnam County MO,29171,4696
Ralls County MO,29173,10309
Randolph County MO,29175,24748
Ray County MO,29177,23018
Reynolds County MO,29179,6270
Ripley County MO,29181,13288
St. Charles County MO,29183,402022
St. Clair County MO,29185,9397
Ste. Genevieve County MO,29186,17894
St. Francois County MO,29187,67215
St. Louis County MO,29189,994205
Saline County MO,29195,22761
Schuyler County MO,29197,4660
Scotland County MO,29199,4902
Scott County MO,29201,38280
Shannon County MO,29203,8166
Shelby County MO,29205,5930
Stoddard County MO,29207,29025
Stone County MO,29209,31952
Sullivan County MO,29211,6089
Taney County MO,29213,55928
Texas County MO,29215,25398
Vernon County MO,29217,20563
Warren County MO,29219,35649
Washington County MO,29221,24730
Wayne County MO,29223,12873
Webster County MO,29225,39592
Worth County MO,29227,2013
Wright County MO,29229,18289
St. Louis city MO,29510,300576
Beaverhead County MT,30001,9453
Big Horn County MT,30003,13319
Blaine County MT,30005,6681
Broadwater County MT,30007,6237
Carbon County MT,30009,10725
Carter County MT,30011,1252
Cascade County MT,30013,81366
Chouteau County MT,30015,5635
Custer County MT,30017,11402
Daniels County MT,30019,1690
Dawson County MT,30021,8613
Deer Lodge County MT,30023,9140
Fallon County MT,30025,2846
Fergus County MT,30027,11050
Flathead County MT,30029,103806
Gallatin County MT,30031,114434
Garfield County MT,30033,1258
Glacier County MT,30035,13753
Golden Valley County MT,30037,821
Granite County MT,30039,3379
Hill County MT,30041,16484
Jefferson County MT,30043,12221
Judith Basin County MT,30045,2007
Lake County MT,30047,30458
Lewis and Clark County MT,30049,69432
Liberty County MT,30051,2337
Lincoln County MT,30053,19980
McCone County MT,30055,1664
Madison County MT,30057,8600
Meagher County MT,30059,1862
Mineral County MT,30061,4397
Missoula County MT,30063,119600
Musselshell County MT,30065,4633
Park County MT,30067,16606
Petroleum County MT,30069,487
Phillips County MT,30071,3954
Pondera County MT,30073,5911
Powder River County MT,30075,1682
Powell County MT,30077,6890
Prairie County MT,30079,1077
Ravalli County MT,30081,43806
Richland County MT,30083,10803
Roosevelt County MT,30085,11004
Rosebud County MT,30087,8937
Sanders County MT,30089,12113
Sheridan County MT,30091,3309
Silver Bow County MT,30093,34915
Stillwater County MT,30095,9642
Sweet Grass County MT,30097,3737
Teton County MT,30099,6147
Toole County MT,30101,4736
Treasure County MT,30103,696
Valley County MT,30105,7396
Wheatland County MT,30107,2126
Wibaux County MT,30109,969
Yellowstone County MT,30111,161300
Adams County NE,31001,31363
Antelope County NE,31003,6298
Arthur County NE,31005,463
Banner County NE,31007,745
Blaine County NE,31009,465
Boone County NE,31011,5192
Box Butte County NE,31013,10783
Boyd County NE,31015,1919
Brown County NE,31017,2955
Buffalo County NE,31019,49659
Burt County NE,31021,6459
Butler County NE,31023,8016
Cass County NE,31025,26248
Cedar County NE,31027,8402
Chase County NE,31029,3924
Cherry County NE,31031,5689
Cheyenne County NE,31033,8910
Clay County NE,31035,6203
Colfax County NE,31037,10709
Cuming County NE,31039,8846
Custer County NE,31041,10777
Dakota County NE,31043,20026
Dawes County NE,31045,8589
Dawson County NE,31047,23595
Deuel County NE,31049,1794
Dixon County NE,31051,5636
Dodge County NE,31053,36565
Douglas County NE,31055,571327
Dundy County NE,31057,1693
Fillmore County NE,31059,5462
Franklin County NE,31061,2979
Frontier County NE,31063,2627
Furnas County NE,31065,4676
Gage County NE,31067,21513
Garden County NE,31069,1837
Garfield County NE,31071,1969
Gosper County NE,31073,1990
Grant County NE,31075,623
Greeley County NE,31077,2356
Hall County NE,31079,61353
Hamilton County NE,31081,9324
Harlan County NE,31083,3380
Hayes County NE,31085,922
Hitchcock County NE,31087,2762
Holt County NE,31089,10067
Hooker County NE,31091,682
Howard County NE,31093,6445
Jefferson County NE,31095,7046
Johnson County NE,31097,5071
Kearney County NE,31099,6495
Keith County NE,31101,8034
Keya Paha County NE,31103,806
Kimball County NE,31105,3632
Knox County NE,31107,8332
Lancaster County NE,31109,319090
Lincoln County NE,31111,34914
Logan County NE,31113,748
Loup County NE,31115,664
McPherson County NE,31117,494
Madison County NE,31119,35099
Merrick County NE,31121,7755
Morrill County NE,31123,4642
Nance County NE,31125,3519
Nemaha County NE,31127,6972
Nuckolls County NE,31129,4148
Otoe County NE,31131,16012
Pawnee County NE,31133,2613
Perkins County NE,31135,2891
Phelps County NE,31137,9034
Pierce County NE,31139,7148
Platte County NE,31141,33470
Polk County NE,31143,5213
Red Willow County NE,31145,10724
Richardson County NE,31147,7865
Rock County NE,31149,1357
Saline County NE,31151,14224
Sarpy County NE,31153,187196
Saunders County NE,31155,21578
Scotts Bluff County NE,31157,35618
Seward County NE,31159,17284
Sheridan County NE,31161,5246
Sherman County NE,31163,3001
Sioux County NE,31165,1166
Stanton County NE,31167,5920
Thayer County NE,31169,5003
Thomas County NE,31171,722
Thurston County NE,31173,7224
Valley County NE,31175,4158
Washington County NE,31177,20729
Wayne County NE,31179,9385
Webster County NE,31181,3487
Wheeler County NE,31183,783
York County NE,31185,13679
Churchill County NV,32001,24909
Clark County NV,32003,2266715
Douglas County NV,32005,48905
Elko County NV,32007,52778
Esmeralda County NV,32009,873
Eureka County NV,32011,2029
Humboldt County NV,32013,16831
Lander County NV,32015,5532
Lincoln County NV,32017,5183
Lyon County NV,32019,57510
Mineral County NV,32021,4505
Nye County NV,32023,46523
Pershing County NV,32027,6725
Storey County NV,32029,4123
Washoe County NV,32031,471519
White Pine County NV,32033,9580
Carson City NV,32510,55916
Belknap County NH,33001,61303
Carroll County NH,33003,48910
Cheshire County NH,33005,76085
Coos County NH,33007,31563
Grafton County NH,33009,89886
Hillsborough County NH,33011,417025
Merrimack County NH,33013,151391
Rockingham County NH,33015,309769
Strafford County NH,33017,130633
Sullivan County NH,33019,43146
Atlantic County NJ,34001,263670
Bergen County NJ,34003,932202
Burlington County NJ,34005,445349
Camden County NJ,34007,506471
Cape May County NJ,34009,92039
Cumberland County NJ,34011,149527
Essex County NJ,34013,798975
Gloucester County NJ,34015,291636
Hudson County NJ,34017,672391
Hunterdon County NJ,34019,124371
Mercer County NJ,34021,367430
Middlesex County NJ,34023,825062
Monmouth County NJ,34025,618795
Morris County NJ,34027,491845
Ocean County NJ,34029,607186
Passaic County NJ,34031,501826
Salem County NJ,34033,62385
Somerset County NJ,34035,328934
Sussex County NJ,34037,140488
Union County NJ,34039,556341
Warren County NJ,34041,105267
Bernalillo County NM,35001,679121
Catron County NM,35003,3527
Chaves County NM,35005,64615
Cibola County NM,35006,26675
Colfax County NM,35007,11941
Curry County NM,35009,48954
De Baca County NM,35011,1748
Doa Ana County NM,35013,218195
Eddy County NM,35015,58460
Grant County NM,35017,26998
Guadalupe County NM,35019,4300
Harding County NM,35021,625
Hidalgo County NM,35023,4198
Lea County NM,35025,71070
Lincoln County NM,35027,19572
Los Alamos County NM,35028,19369
Luna County NM,35029,23709
McKinley County NM,35031,71367
Mora County NM,35033,4521
Otero County NM,35035,67490
Quay County NM,35037,8253
Rio Arriba County NM,35039,38921
Roosevelt County NM,35041,18500
Sandoval County NM,35043,146748
San Juan County NM,35045,123958
San Miguel County NM,35047,27277
Santa Fe County NM,35049,150358
Sierra County NM,35051,10791
Socorro County NM,35053,16637
Taos County NM,35055,32723
Torrance County NM,35057,15461
Union County NM,35059,4059
Valencia County NM,35061,76688
Albany County NY,36001,305506
Allegany County NY,36003,46091
Bronx County NY,36005,1418207
Broome County NY,36007,190488
Cattaraugus County NY,36009,76117
Cayuga County NY,36011,76576
Chautauqua County NY,36013,126903
Chemung County NY,36015,83456
Chenango County NY,36017,47207
Clinton County NY,36019,80485
Columbia County NY,36021,59461
Cortland County NY,36023,47581
Delaware County NY,36025,44135
Dutchess County NY,36027,294218
Erie County NY,36029,918702
Essex County NY,36031,36885
Franklin County NY,36033,50022
Fulton County NY,36035,53383
Genesee County NY,36037,57280
Greene County NY,36039,47188
Hamilton County NY,36041,4416
Herkimer County NY,36043,61319
Jefferson County NY,36045,109834
Kings County NY,36047,2559903
Lewis County NY,36049,26296
Livingston County NY,36051,62914
Madison County NY,36053,70941
Monroe County NY,36055,741770
Montgomery County NY,36057,49221
Nassau County NY,36059,1356924
New York County NY,36061,1628706
Niagara County NY,36063,209281
Oneida County NY,36065,228671
Onondaga County NY,36067,460528
Ontario County NY,36069,109777
Orange County NY,36071,384940
Orleans County NY,36073,40352
Oswego County NY,36075,117124
Otsego County NY,36077,59493
Putnam County NY,36079,98320
Queens County NY,36081,2253858
Rensselaer County NY,36083,158714
Richmond County NY,36085,476143
Rockland County NY,36087,325789
St. Lawrence County NY,36089,107740
Saratoga County NY,36091,229863
Schenectady County NY,36093,155299
Schoharie County NY,36095,30999
Schuyler County NY,36097,17807
Seneca County NY,36099,34016
Steuben County NY,36101,95379
Suffolk County NY,36103,1476601
Sullivan County NY,36105,75432
Tioga County NY,36107,48203
Tompkins County NY,36109,102180
Ulster County NY,36111,177573
Warren County NY,36113,63944
Washington County NY,36115,61204
Wayne County NY,36117,89918
Westchester County NY,36119,967506
Wyoming County NY,36121,39859
Yates County NY,36123,24913
Alamance County NC,37001,169509
Alexander County NC,37003,37497
Alleghany County NC,37005,11137
Anson County NC,37007,24446
Ashe County NC,37009,27203
Avery County NC,37011,17557
Beaufort County NC,37013,46994
Bertie County NC,37015,18947
Bladen County NC,37017,32722
Brunswick County NC,37019,142820
Buncombe County NC,37021,261191
Burke County NC,37023,90485
Cabarrus County NC,37025,216453
Caldwell County NC,37027,82178
Camden County NC,37029,10867
Carteret County NC,37031,69473
Caswell County NC,37033,22604
Catawba County NC,37035,159551
Chatham County NC,37037,74470
Cherokee County NC,37039,28612
Chowan County NC,37041,13943
Clay County NC,37043,11231
Cleveland County NC,37045,97947
Columbus County NC,37047,55508
Craven County NC,37049,102139
Cumberland County NC,37051,335509
Currituck County NC,37053,27763
Dare County NC,37055,37009
Davidson County NC,37057,167609
Davie County NC,37059,42846
Duplin County NC,37061,58741
Durham County NC,37063,321488
Edgecombe County NC,37065,51472
Forsyth County NC,37067,382295
Franklin County NC,37069,69685
Gaston County NC,37071,224529
Gates County NC,37073,11562
Graham County NC,37075,8441
Granville County NC,37077,60443
Greene County NC,37079,21069
Guilford County NC,37081,537174
Halifax County NC,37083,50010
Harnett County NC,37085,135976
Haywood County NC,37087,62317
Henderson County NC,37089,117417
Hertford County NC,37091,23677
Hoke County NC,37093,55234
Hyde County NC,37095,4937
Iredell County NC,37097,181806
Jackson County NC,37099,43938
Johnston County NC,37101,209339
Jones County NC,37103,9419
Lee County NC,37105,61779
Lenoir County NC,37107,55949
Lincoln County NC,37109,86111
McDowell County NC,37111,45756
Macon County NC,37113,35858
Madison County NC,37115,21755
Martin County NC,37117,22440
Mecklenburg County NC,37119,1110356
Mitchell County NC,37121,14964
Montgomery County NC,37123,27173
Moore County NC,37125,100880
Nash County NC,37127,94298
New Hanover County NC,37129,234473
Northampton County NC,37131,19483
Onslow County NC,37133,197938
Orange County NC,37135,148476
